0,Suburb,id,,
Maidstone,,,,lilydale-vic-3140
Maldon,,,,loch-sport-vic-3851
Malvern East,,,,long-gully-vic-3550
Manor Lakes,,,,longwarry-vic-3816
Maribyrnong,,,,lorne-vic-3232
Marshall,,,,lucas-vic-3350
Maryborough,,,,lynbrook-vic-3975
McKinnon,,,,lyndhurst-vic-3975
Melbourne,,,,macedon-vic-3440
Melton South,,,,maddingley-vic-3340
Melton West,,,,maffra-vic-3860
Mentone,,,,maiden-gully-vic-3551
Mernda,,,,maidstone-vic-3012
Mickleham,,,,maldon-vic-3463
Mildura,,,,malvern-east-vic-3145
Mill Park,,,,manor-lakes-vic-3024
Mirboo North,,,,maribyrnong-vic-3032
Mitcham,,,,marshall-vic-3216
Mitchell Park,,,,maryborough-vic-3465
Monbulk,,,,sold-listings
Mont Albert North,,,,melbourne-vic-3000
Montmorency,,,,melton-south-vic-3338
Montrose,,,,melton-west-vic-3337
Moorabbin,,,,mentone-vic-3194
Mooroolbark,,,,mernda-vic-3754
Mordialloc,,,,mickleham-vic-3064
Mornington,,,,mildura-vic-3500
Morwell,,,,mill-park-vic-3082
Mount Clear,,,,mirboo-north-vic-3871
Mount Duneed,,,,mitcham-vic-3132
Mount Eliza,,,,mitchell-park-vic-3355
Mount Evelyn,,,,monbulk-vic-3793
Mount Helen,,,,mont-albert-north-vic-3129
Mount Martha,,,,montmorency-vic-3094
Mount Pleasant,,,,montrose-vic-3765
Mount Waverley,,,,moorabbin-vic-3189
Mulgrave,,,,mooroolbark-vic-3138
Narre Warren,,,,mordialloc-vic-3195
Narre Warren North,,,,mornington-vic-3931
Narre Warren South,,,,morwell-vic-3840
Newborough,,,,mount-clear-vic-3350
Newcomb,,,,mount-duneed-vic-3217
Newham,,,,mount-eliza-vic-3930
Newport,,,,mount-evelyn-vic-3796
Newtown,,,,mount-helen-vic-3350
Noble Park,,,,mount-martha-vic-3934
Noble Park North,,,,mount-pleasant-vic-3350
Norlane,,,,mount-waverley-vic-3149
North Bendigo,,,,mulgrave-vic-3170
North Geelong,,,,myrtleford-vic-3737
North Warrandyte,,,,narre-warren-vic-3805
Northcote,,,,narre-warren-north-vic-3804
Numurkah,,,,narre-warren-south-vic-3805
Nunawading,,,,newborough-vic-3825
Oak Park,,,,newcomb-vic-3219
Oakleigh East,,,,newham-vic-3442
Oakleigh South,,,,newport-vic-3015
Ocean Grove,,,,newtown-vic-3351
Officer,,,,noble-park-vic-3174
Olinda,,,,noble-park-north-vic-3174
Pakenham,,,,norlane-vic-3214
Pakenham Upper,,,,north-bendigo-vic-3550
Parkdale,,,,north-geelong-vic-3215
Pascoe Vale,,,,north-warrandyte-vic-3113
Peechelba,,,,northcote-vic-3070
Point Cook,,,,numurkah-vic-3636
Point Lonsdale,,,,nunawading-vic-3131
Portarlington,,,,nyora-vic-3987
Portland,,,,oak-park-vic-3046
Preston,,,,oakleigh-east-vic-3166
Redan,,,,oakleigh-south-vic-3167
Reservoir,,,,ocean-grove-vic-3226
Richmond,,,,officer-vic-3809
Riddells Creek,,,,olinda-vic-3788
Ringwood,,,,ormond-vic-3204
Ringwood East,,,,pakenham-vic-3810
Ringwood North,,,,pakenham-upper-vic-3810
Ripponlea,,,,parkdale-vic-3195
Romsey,,,,pascoe-vale-vic-3044
Rosebud,,,,peechelba-vic-3678
Ross Creek,,,,point-cook-vic-3030
Rowville,,,,point-lonsdale-vic-3225
Roxburgh Park,,,,portarlington-vic-3223
Rushworth,,,,portland-vic-3305
Rutherglen,,,,preston-vic-3072
Safety Beach,,,,princes-hill-vic-3054
Sale,,,,redan-vic-3350
Sandhurst,,,,reservoir-vic-3073
Seaford,,,,richmond-vic-3121
Sebastopol,,,,riddells-creek-vic-3431
Seddon,,,,ringwood-vic-3134
Shepparton,,,,ringwood-east-vic-3135
Shepparton North,,,,ringwood-north-vic-3134
Smythes Creek,,,,ripponlea-vic-3185
Smythesdale,,,,romsey-vic-3434
Soldiers Hill,,,,rosebud-vic-3939
Somerville,,,,ross-creek-vic-3351
South Morang,,,,rowville-vic-3178
South Yarra,,,,roxburgh-park-vic-3064
Southbank,,,,rushworth-vic-3612
Springvale,,,,rutherglen-vic-3685
St Albans,,,,rye-vic-3941
St Albans Park,,,,safety-beach-vic-3936
St Arnaud,,,,sale-vic-3850
St Kilda,,,,sandhurst-vic-3977
St Kilda East,,,,seaford-vic-3198
St Kilda West,,,,sebastopol-vic-3356
St Leonards,,,,seddon-vic-3011
Stanley,,,,shepparton-vic-3630
Strathfieldsaye,,,,shepparton-north-vic-3631
Strathtulloh,,,,smythes-creek-vic-3351
Sunbury,,,,smythesdale-vic-3351
Sunshine West,,,,soldiers-hill-vic-3350
Sutton Grange,,,,somerville-vic-3912
Tarneit,,,,south-morang-vic-3752
Taylors Hill,,,,south-yarra-vic-3141
Taylors Lakes,,,,southbank-vic-3006
Templestowe,,,,springvale-vic-3171
Templestowe Lower,,,,st-albans-vic-3021
The Basin,,,,st-albans-park-vic-3219
Thomastown,,,,st-arnaud-vic-3478
Thomson,,,,st-kilda-vic-3182
Thornbury,,,,st-kilda-east-vic-3183
Toongabbie,,,,st-kilda-west-vic-3182
Toorak,,,,st-leonards-vic-3223
